Player,height,weight,collage,born,birth_city,birth_state
Mark Radford,193,86,Oregon State University,1959,Tacoma,Washington
Mark Price,183,77,Georgia Institute of Technology,1964,Bartlesville,Oklahoma
Mark Pope,208,106,University of Kentucky,1972,Omaha,Nebraska
Mark Olberding,203,102,University of Minnesota,1956,Melrose,Minnesota
Mark Minor,198,97,Ohio State University,1950,,
Mark McNamara,211,106,University of California,1959,San Jose,California
Mark Madsen,206,108,Stanford University,1976,Walnut Creek,California
Mark Macon,196,83,Temple University,1969,Saginaw,Michigan
Mark Landsberger,203,97,Arizona State University,1955,Minot,North Dakota
Mark Jones,206,102,Albany State University,1953,McGhee,Arkansas
Mark Jackson,185,81,St. John's University,1965,Brooklyn,New York
Mark Hendrickson,206,99,Washington State University,1974,Mount Vernon,Washington
Mark Eaton,224,124,"University of California, Los Angeles",1957,Westminster,California
Mark Davis,198,88,Old Dominion University,1963,Chesapeake,Virginia
Mark Crow,201,95,Duke University,1954,Edwards AFB,California
Mark Bryant,206,111,Seton Hall University,1965,Glen Ridge,New Jersey
Mark Bradtke,208,120,,1968,Adelaide,Australia
Mark Blount,213,104,University of Pittsburgh,1975,Dobbs Ferry,New York
Mark Alarie,203,98,Duke University,1963,Phoenix,Arizona
Mark Aguirre,198,105,DePaul University,1959,Chicago,Illinois
Mark Acres,211,99,Oral Roberts University,1962,Inglewood,California
Mario West,208,104,Old Dominion University,1960,Petersburg,Virginia
Mario Kasun,216,117,,1980,Split,Croatia
Mario Hezonja,203,97,,1995,Dubrovnik,Croatia
Mario Elie,196,95,American International College,1963,New York,New York
Mario Chalmers,188,86,University of Kansas,1986,Anchorage,Alaska
Mario Bennett,198,106,Arizona State University,1973,Denton,Texas
Mardy Collins,198,99,Temple University,1984,Philadelphia,Pennsylvania
Marcus Williams,185,89,University of Alabama,1982,Jackson,Mississippi
Marcus Webb,206,115,University of Alabama,1970,Montgomery,Alabama
Marcus Vinicius,206,97,,1986,,
Marcus Thornton,193,92,Louisiana State University,1987,Baton Rouge,Louisiana
Marcus Smart,193,99,Oklahoma State University,1994,Flower Mound,Texas
Marcus Morris,188,88,Northwestern University,1925,,
Marcus Liberty,203,92,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois
Marcus Landry,201,104,University of Wisconsin,1985,Milwaukee,Wisconsin
Marcus Haislip,208,104,University of Tennessee,1980,Lewisburg,Tennessee
Marcus Georges-Hunt,196,97,Georgia Institute of Technology,1994,Miami,Florida
Marcus Fizer,206,118,Iowa State University,1978,Detroit,Michigan
Marcus Cousin,211,111,University of Houston,1986,Baltimore,Maryland
Marcus Camby,211,99,University of Massachusetts Amherst,1974,Hartford,Connecticut
Marcus Brown,190,83,Murray State University,1974,West Memphis,Arkansas
Marcus Banks,188,90,"University of Nevada, Las Vegas",1981,Las Vegas,Nevada
Marco Belinelli,196,95,,1986,Bologna,Italy
Marcin Gortat,211,108,,1984,Lodz,Poland
Marcelo Huertas,190,90,,1983,Sao Paulo,Brazil
Marc Jackson,185,81,St. John's University,1965,Brooklyn,New York
Marc Iavaroni,203,95,University of Virginia,1956,Jamaica,New York
Marc Gasol,216,115,,1985,Barcelona,Spain
Manute Bol,231,90,University of Bridgeport,1962,Gogrial,South Sudan
Manu Ginobili,198,92,,1977,Bahia Blanca,Argentina
Manny Leaks,203,102,Niagara University,1945,Cleveland,Ohio
Manny Harris,196,83,University of Michigan,1989,Detroit,Michigan
Mamadou N'Diaye,203,111,University of North Carolina,1973,Dakar,Senegal
Malik Sealy,203,86,St. John's University,1970,Bronx,New York
Malik Rose,201,113,Drexel University,1974,Philadelphia,Pennsylvania
Malik Hairston,198,99,University of Oregon,1987,Detroit,Michigan
Malik Beasley,196,88,Florida State University,1996,Atlanta,Georgia
Malik Allen,208,115,Villanova University,1978,Willingboro,New Jersey
Malcolm Thomas,206,102,San Diego State University,1988,Columbia,Missouri
Malcolm Mackey,206,112,Georgia Institute of Technology,1970,Chattanooga,Tennessee
Malcolm Lee,196,90,"University of California, Los Angeles",1990,Riverside,California
Malcolm Delaney,190,86,Virginia Polytechnic Institute and State University,1989,Baltimore,Maryland
Malcolm Brogdon,196,97,University of Virginia,1992,Atlanta,Georgia
Malachi Richardson,198,92,Syracuse University,1996,Trenton,New Jersey
Mal McMullen,196,95,Xavier University,1927,,
Mal Graham,185,83,New York University,1945,,
Makhtar N'Diaye,203,111,University of North Carolina,1973,Dakar,Senegal
Major Jones,206,102,Albany State University,1953,McGhee,Arkansas
Mahmoud Abdul-Rauf,188,83,"University of California, Los Angeles",1942,Wilmington,Delaware
Magic Johnson*,201,98,"University of California, Los Angeles",1956,Nachitoches,Louisiana
Mack Calvin,183,74,University of Southern California,1947,Fort Worth,Texas
Maciej Lampe,211,124,,1985,Lodz,Poland
Maceo Baston,206,97,University of Michigan,1975,Corsicana,Texas
Mac Otten,201,99,Bowling Green State University,1925,Bellefontaine,Ohio
Maalik Wayns,188,90,Villanova University,1991,Philadelphia,Pennsylvania
M.L. Carr,183,74,,1947,,
Lynn Greer,188,79,Temple University,1979,Philadelphia,Pennsylvania
Luther Wright,218,122,Seton Hall University,1971,Jersey City,New Jersey
Luther Rackley,208,99,Xavier University,1946,Bainbridge,Georgia
Luther Head,190,83,University of Illinois at Urbana-Champaign,1982,Chicago,Illinois
Luther Green,201,86,Long Island University,1946,New York,New York
Luol Deng,206,99,Duke University,1985,Wow,South Sudan
Luke Zeller,211,111,University of Notre Dame,1987,Ames,Iowa
Luke Witte,213,106,Ohio State University,1950,Philadelphia,Pennsylvania
Luke Walton,203,106,University of Arizona,1980,San Diego,California
Luke Schenscher,216,115,Georgia Institute of Technology,1982,Hope Forest,Australia
Luke Ridnour,188,79,University of Oregon,1981,Coeur d'Alene,Idaho
Luke Jackson,206,108,University of Texas-Pan American,1941,San Marcos,Texas
Luke Harangody,203,111,University of Notre Dame,1988,Decatur,Illinois
Luke Babbitt,206,102,"University of Nevada, Reno",1989,Cincinnati,Ohio
Luis Scola,206,108,,1980,Buenos Aires,Argentina
Luis Montero,201,83,Westchester CC,1993,Santo Domingo,Dominican Republic
Luis Flores,188,90,Manhattan College,1981,San Pedro de Macoris,Dominican Republic
Luigi Datome,203,97,,1987,Montebelluna,Italy
Lucius Allen,188,79,"University of California, Los Angeles",1947,Kansas City,Kansas
Lucious Harris,196,86,"California State University, Long Beach",1970,Los Angeles,California
Lucas Nogueira,213,109,,1992,Sao Goncalo,Brazil
Luc Mbah,201,99,,1984,,
Luc Longley,218,120,University of New Mexico,1969,Melbourne,Australia
Loy Vaught,206,104,University of Michigan,1968,Grand Rapids,Michigan
Loy Petersen,196,92,Oregon State University,1945,,
Lowes Moore,185,77,West Virginia University,1957,Plymouth,South Carolina
Louis Orr,203,79,Syracuse University,1958,Cincinnati,Ohio
Louie Nelson,190,86,University of Washington,1951,Los Angeles,California
Louie Dampier*,183,77,University of Kentucky,1944,Indianapolis,Indiana
Lou Williams,206,90,Stetson University,1969,Ocala,Florida
Lou Tsioropoulos,196,86,University of Kentucky,1930,Lynn,Massachusetts
Lou Roe,201,99,University of Massachusetts Amherst,1972,Atlantic City,New Jersey
Lou Hudson,196,95,University of Minnesota,1944,Greensboro,North Carolina
Lou Amundson,206,99,"University of Nevada, Las Vegas",1982,Ventura,California
Lorenzo Williams,206,90,Stetson University,1969,Ocala,Florida
Lorenzo Romar,185,79,University of Washington,1958,South Gate,California
Lorenzo Charles,201,102,North Carolina State University,1963,Brooklyn,New York
Lorenzo Brown,196,85,North Carolina State University,1990,Roswell,Georgia
Lorenzen Wright,188,92,Colorado State University,1945,Newark,New Jersey
Loren Woods,216,111,University of Arizona,1978,St. Louis,Missouri
Loren Meyer,208,116,Iowa State University,1972,Emmetsburg,Iowa
Lonny Baxter,203,117,University of Maryland,1979,Silver Spring,Maryland
Lonnie Shelton,203,108,Oregon State University,1955,Bakersfield,California
Logan Vander,203,97,University of Wisconsin-Green Bay,1971,Valders,Wisconsin
Lloyd Walton,183,72,Marquette University,1953,Chicago,Illinois
Lloyd Neal,201,102,Tennessee State University,1950,Talbottom,Georgia
Lloyd Daniels,201,92,Mount San Antonio College,1967,Brooklyn,New York
Litterial Green,185,83,University of Georgia,1970,Pascagoula,Mississippi
Lionel Simmons,201,95,La Salle University,1968,Philadelphia,Pennsylvania
Lionel Hollins,190,83,Arizona State University,1953,Ark City,Kansas
Lionel Chalmers,183,81,Xavier University,1980,Albany,New York
Linton Townes,201,86,James Madison University,1959,Richmond,Virginia
Linton Johnson,203,92,Tulane University,1980,Chicago,Illinois
Lindsey Hunter,188,77,Jackson State University,1970,Utica,Mississippi
Lindsay Hairston,201,81,Michigan State University,1951,Detroit,Michigan
Linas Kleiza,203,111,University of Missouri,1985,Kaunas,Lithuania
Lewis Lloyd,198,92,Drake University,1959,Philadelphia,Pennsylvania
Lewis Brown,190,86,University of Wyoming,1919,,
Lew Hitch,203,90,Kansas State University,1929,Griggsville,Illinois
Levi Fontaine,193,86,University of Maryland Eastern Shore,1948,,
Lester Hudson,190,86,University of Tennessee at Martin,1984,Memphis,Tennessee
Lester Conner,193,81,Oregon State University,1959,Memphis,Tennessee
Les Pugh,201,86,Ohio State University,1923,,
Les Jepsen,213,107,University of Iowa,1967,Bowbells,North Dakota
Les Hunter,201,95,Loyola University of Chicago,1942,Nashville,Tennessee
Leroy Ellis,208,95,St. John's University,1940,Far Rockaway,New York
Leroy Combs,203,95,Oklahoma State University,1961,Oklahoma City,Oklahoma
Leroy Chollet,188,86,Canisius College,1925,New Orleans,Louisiana
LeRon Ellis,208,95,St. John's University,1940,Far Rockaway,New York
Leonard Taylor,203,99,University of California,1966,Los Angeles,California
Leonard Gray,203,108,"California State University, Long Beach",1951,Kansas City,Kansas
Leon Wood,190,83,"California State University, Fullerton",1962,Columbia,South Carolina
Leon Smith,208,106,,1980,Chicago,Illinois
Leon Powe,203,108,University of California,1984,Berkeley,California
Leon Douglas,208,104,University of Alabama,1954,Leighton,Alabama
Leon Blevins,188,72,University of Arizona,1926,,
Leon Benbow,193,83,Jacksonville University,1950,Columbia,South Carolina
Leo Rautins,203,97,Syracuse University,1960,Toronto,Canada
Leo Mogus,193,86,Youngstown State University,1921,Ohio,
Leo Kubiak,180,72,Bowling Green State University,1927,,
Leo Klier,188,77,University of Notre Dame,1923,Washington,Indiana
Leo Katkaveck,183,83,North Carolina State University,1923,,
Leo Barnhorst,193,86,University of Notre Dame,1924,,
Lenny Wilkens*,185,81,Providence College,1937,Brooklyn,New York
Lennie Rosenbluth,193,86,University of North Carolina,1933,New York,New York
Len Kosmalski,213,111,University of Tennessee,1951,Cleveland,Ohio
Len Elmore,206,99,University of Maryland,1952,New York,New York
Len Chappell,203,108,Wake Forest University,1941,Portage,Pennsylvania
Lee Winfield,188,78,University of North Texas,1947,St. Louis,Missouri
Lee Shaffer,201,99,University of North Carolina,1939,Chicago,Illinois
Lee Nailon,206,107,Texas Christian University,1975,South Bend,Indiana
Lee Mayberry,185,78,University of Arkansas,1970,Tulsa,Oklahoma
Lee Knorek,201,97,University of Detroit Mercy,1921,Warsaw,Poland
Lee Johnson,211,92,East Texas State University,1957,Plummerville,Arkansas
Ledell Eackles,196,99,University of New Orleans,1966,Baton Rouge,Louisiana
LeBron James,203,113,,1984,Akron,Ohio
Leandro Barbosa,190,87,,1982,San Paulo,Brazil
Lazaro Borrell,203,99,,1972,Santa Clara,Cuba
Lazar Hayward,198,102,Marquette University,1986,Buffalo,New York
Lawrence Roberts,206,108,Mississippi State University,1982,Houston,Texas
Lawrence Moten,196,83,Syracuse University,1972,Washington,District of Columbia
Lawrence Funderburke,206,104,Ohio State University,1970,Columbus,Ohio
Lawrence Boston,203,102,University of Maryland,1956,Cleveland,Ohio
Lavoy Allen,206,117,Temple University,1989,Morrisville,Pennsylvania
Lavor Postell,196,97,St. John's University,1978,Albany,Georgia
Latrell Sprewell,196,86,University of Alabama,1970,Milwaukee,Wisconsin
LaSalle Thompson,208,111,University of Texas at Austin,1961,Cincinnati,Ohio
LaRue Martin,211,94,Loyola University of Chicago,1950,Chicago,Illinois
Lars Hansen,208,102,University of Washington,1954,Copenhagen,Denmark
Larry Wright,185,72,Grambling State University,1954,Monroe,Louisiana
Larry Sykes,206,115,Xavier University,1973,Toledo,Ohio
Larry Stewart,203,99,Coppin State University,1968,Philadelphia,Pennsylvania
Larry Steele,196,81,University of Kentucky,1949,Greencastle,Indiana
Larry Staverman,201,92,Thomas More College,1936,,
Larry Spriggs,201,104,Howard University,1959,Cheverly,Maryland
Larry Smith,203,97,Alcorn State University,1958,Rolling Fork,Mississippi
Larry Siegfried,190,86,Ohio State University,1939,Shelby,Ohio
Larry Sanders,211,106,Virginia Commonwealth University,1988,Fort Pierce,Florida
Larry Robinson,190,81,Centenary College of Louisiana,1968,Bossier City,Louisiana
Larry Owens,201,95,Oral Roberts University,1983,Mesa,Arizona
Larry Nance,208,92,Clemson University,1959,Anderson,South Carolina
Larry Moffett,203,95,"University of Nevada, Las Vegas",1954,Mobile,Alabama
Larry Mikan,201,95,University of Minnesota,1948,,
Larry Micheaux,206,99,University of Houston,1960,Houston,Texas
Larry McNeill,206,88,Marquette University,1951,Hoke,North Carolina
Larry Krystkowiak,206,99,University of Montana,1964,Missoula,Montana
Larry Kenon,206,92,University of Memphis,1952,Birmingham,Alabama
Larry Jones,188,81,University of Toledo,1942,Columbus,Ohio
Larry Johnson,190,92,University of Kentucky,1954,Morganfield,Kentucky
Larry Hughes,196,83,Saint Louis University,1979,St. Louis,Missouri
Larry Hennessy,190,83,Villanova University,1929,,
Larry Friend,193,83,University of California,1935,Chicago,Illinois
Larry Foust,206,97,La Salle University,1928,Painesville,Ohio
Larry Fogle,196,92,Canisius College,1953,Brooklyn,New York
Larry Drew,185,77,University of Missouri,1958,Kansas City,Kansas
Larry Demic,206,102,University of Arizona,1957,Gary,Indiana
Larry Costello,185,84,Niagara University,1931,Minoa,New York
Larry Comley,196,95,Kansas State University,1939,,
Larry Cannon,193,88,La Salle University,1947,Philadelphia,Pennsylvania
Larry Bird*,206,99,Indiana State University,1956,West Baden,Indiana
Laron Profit,196,92,University of Maryland,1977,Charleston,South Carolina
Lari Ketner,206,125,University of Massachusetts Amherst,1977,Philadelphia,Pennsylvania
LaPhonso Ellis,203,108,University of Notre Dame,1970,East St. Louis,Illinois
Langston Galloway,188,90,Saint Joseph's University,1991,Baton Rouge,Louisiana
Landry Fields,201,95,Stanford University,1988,Long Beach,California
Lance Thomas,203,106,Duke University,1988,Brooklyn,New York
Lance Stephenson,196,104,University of Cincinnati,1990,Brooklyn,New York
Lance Blanks,193,86,University of Texas at Austin,1966,Del Rio,Texas
Lance Allred,211,113,Weber State University,1981,Salt Lake City,Utah
Lancaster Gordon,190,83,University of Louisville,1962,Jackson,Mississippi
Lanard Copeland,198,86,Georgia State University,1965,Atlanta,Georgia
Lamont Strothers,193,86,Christopher Newport University,1968,Nansemond County,Virginia
Lamond Murray,201,107,University of California,1973,Pasadena,California
LaMark Baker,185,79,Ohio State University,1969,Dayton,Ohio
LaMarcus Aldridge,211,117,University of Texas at Austin,1985,Dallas,Texas
Lamar Patterson,196,102,University of Pittsburgh,1991,Lancaster,Pennsylvania
Lamar Odom,208,99,University of Rhode Island,1979,Jamaica,New York
Lamar Green,201,95,Morehead State University,1947,Birmingham,Alabama
LaBradford Smith,203,97,Alcorn State University,1958,Rolling Fork,Mississippi
Kyrylo Fesenko,216,130,,1986,Dnepropetrovsk,Ukraine
Kyrie Irving,190,87,Duke University,1992,Melbourne,Australia
Kyle Wiltjer,208,108,Gonzaga University,1992,Portland,Oregon
Kyle Weaver,198,91,Washington State University,1986,Janesville,Wisconsin
Kyle Singler,203,103,Duke University,1988,Medford,Oregon
Kyle O'Quinn,208,113,Norfolk State University,1990,Flushing,New York
Kyle Macy,190,79,University of Kentucky,1957,Fort Wayne,Indiana
Kyle Lowry,183,92,Villanova University,1986,Philadelphia,Pennsylvania
Kyle Korver,201,96,Creighton University,1981,Lakewood,California
Kyle Anderson,206,104,"University of California, Los Angeles",1993,New York,New York
Kwame Brown,211,122,,1982,Charleston,South Carolina
Kurt Thomas,206,104,Texas Christian University,1972,Dallas,Texas
Kurt Rambis,203,96,Santa Clara University,1958,Cupertino,California
Kurt Nimphius,208,98,Arizona State University,1958,Milwaukee,Wisconsin
Kurk Lee,190,86,Towson University,1967,Baltimore,Maryland
